seniority,postings,ai_postings,ai_pct_of_level
Internship,10494,2570,24.49
Entry Level,15631,3090,19.77
Mid-Senior Level,316258,62888,19.89
Principal,8830,3489,39.51
Director,5252,1288,24.52
Vice President,2981,814,27.31
Executive,1043,208,19.94
Not Specified,2,0,0.0
